Major,PolicyArea,0
agriculture,Agricultural assistance,1
agriculture,Agriculture and Food,4235
agriculture,Agriculture in foreign trade,38
agriculture,Alcoholic beverages,2
agriculture,Animals,336
agriculture,Aquaculture,9
agriculture,Armed Forces and National Security,5
agriculture,Baked products,1
agriculture,Biological pest control,2
agriculture,Cattle,1
agriculture,"Civil Rights and Liberties, Minority Issues",1
agriculture,Claims,1
agriculture,Commemorations,1
agriculture,Commerce,102
agriculture,Commodity agreements,1
agriculture,Commodity control,6
agriculture,Cotton,6
agriculture,Credit,2
agriculture,Crime and Law Enforcement,45
agriculture,Defective products,1
agriculture,Disaster relief,3
agriculture,Disasters,1
agriculture,Droughts,2
agriculture,Drug industry,2
agriculture,Drug law and legislation,3
agriculture,Drugs,6
agriculture,Economics and Public Finance,44
agriculture,Education,9
agriculture,Emergency Management,23
agriculture,Energy,20
agriculture,Environmental Protection,96
agriculture,Executive reorganization,1
agriculture,Families,1
agriculture,Family farms,17
agriculture,Federal advisory bodies,10
agriculture,Federal aid programs,3
agriculture,Federal-state relations,1
agriculture,Finance and Financial Sector,34
agriculture,Fishes,3
agriculture,Fishing,9
agriculture,Foreign Trade and International Finance,374
agriculture,Forest products,5
agriculture,Gambling,1
agriculture,Gardening,1
agriculture,Government Operations and Politics,69
agriculture,Government lending,1
agriculture,Government property,1
agriculture,Health,178
agriculture,Horses,4
agriculture,Housing and Community Development,13
agriculture,Immigration,1
agriculture,Import restrictions,16
agriculture,Imports,2
agriculture,Income tax,9
agriculture,Independent regulatory commissions,1
agriculture,Insect control,2
agriculture,International Affairs,32
agriculture,Irrigation,2
agriculture,Labeling,10
agriculture,Labeling laws,13
agriculture,Labor and Employment,8
agriculture,Lakes,1
agriculture,Land use,1
agriculture,Law,12
agriculture,Livestock,36
agriculture,Livestock industry,7
agriculture,Margarine,1
agriculture,Marine insurance,1
agriculture,Marine mammal protection,1
agriculture,Marketing,1
agriculture,Meat,47
agriculture,Medicated feeds,1
agriculture,Mortgage loans,2
agriculture,Motor vehicles,3
agriculture,Native Americans,4
agriculture,Nutrition,3
agriculture,Pest control,3
agriculture,Pest management,4
agriculture,Pests,1
agriculture,Pets,12
agriculture,Plant protection,1
agriculture,Polybrominated biphenyls,2
agriculture,Poultry industry,1
agriculture,Predator control,2
agriculture,Proteins,1
agriculture,Public Lands and Natural Resources,549
agriculture,Rabbits,2
agriculture,Radiation safety,1
agriculture,Reclamation of land,9
agriculture,Research,2
